temperature,humidity,sensation,comfort,skin,clothing
-1.867335563,-0.496510005,0,0,-2.319160685,-2.01674277
-1.895206243,-0.347603537,0,0,,
-1.895206243,-0.282456957,0,0,-1.932633904,-1.750380518
-1.560758082,-0.394136808,1,-1,,
-0.16722408,-0.74778967,1,-1,-0.331308669,-0.03805175
0.641025641,-1.036295952,1,-1,,
0.752508361,-0.943229409,1,-1,0.331308669,0.304414003
0.724637681,-1.101442531,2,-2,,
0.780379041,-1.101442531,2,-2,0.71783545,0.532724505
0.863991081,-0.887389483,2,-2,,
1.031215162,-1.036295952,2,-2,0.71783545,0.646879756
1.086956522,-1.082829223,3,-3,,
1.282051282,-1.194509074,3,-3,1.049144119,1.02739726
1.393534002,-1.231735691,3,-3,,
1.449275362,-1.268962308,3,-3,1.601325235,1.407914764
1.337792642,-1.222429037,3,-3,,
1.114827202,-1.157282457,2,-2,0.828271673,0.837138508
0.668896321,-1.12005584,1,-1,,
0.334448161,-0.943229409,1,-1,1.325234677,0.456621005
0.08361204,-0.887389483,0,-1,,
-0.02787068,-0.822242904,0,0,0.552181115,-0.190258752
-0.16722408,-0.924616101,0,0,,
-0.418060201,-0.980456026,0,0,0.220872446,-0.722983257
-0.501672241,-0.98976268,0,0,,
-0.529542921,-1.455095393,1,-1,-0.276090558,-0.761035008
-0.501672241,-1.49232201,1,-1,,
-0.445930881,-1.529548627,0,0,-0.276090558,-0.875190259
-0.473801561,-1.548161936,0,0,,
-0.473801561,-1.49232201,0,0,-0.276090558,-0.646879756
-0.473801561,-1.436482085,0,0,,
-0.445930881,-1.389948813,0,0,-0.331308669,-0.532724505
-0.390189521,-1.352722196,0,0,,
-0.390189521,-1.231735691,0,0,-0.055218112,-0.342465753
-0.362318841,-1.892508143,0,0,,
0.696767001,-1.389948813,1,-1,0.552181115,0.608828006
1.198439242,-1.520241973,2,-2,,
1.532887402,-1.576081899,3,-3,0.662617338,1.293759513
1.365663322,-1.55746859,3,-3,,
1.086956522,-1.520241973,1,-1,0.662617338,0.761035008
0.863991081,-1.399255468,0,0,,
0.780379041,-1.408562122,0,1,0.773053562,0.684931507
0.724637681,-1.380642159,1,-1,,
0.668896321,-1.362028851,1,-1,0.607399227,0.570776256
0.641025641,-1.362028851,2,-2,,
0.585284281,-1.324802234,1,-1,0.773053562,0.532724505
0.585284281,-1.324802234,1,-1,,
0.529542921,-1.697068404,0,0,0.773053562,0.456621005
0.418060201,-1.780828292,0,1,,
0.30657748,-1.790134946,0,1,0.662617338,-0.03805175
0.2787068,-1.855281526,0,1,,
0.25083612,-1.939041415,0,1,0.773053562,-0.03805175
0.19509476,-1.808748255,0,1,,
0.1393534,-1.697068404,0,1,0.773053562,-0.152207002
0.08361204,-1.604001861,0,1,,
0.05574136,-1.594695207,0,1,0.552181115,-0.418569254
-1.337792642,-0.794322941,0,0,,
-1.337792642,-0.822242904,0,1,,
-1.337792642,-0.812936249,0,1,-0.828271673,-1.484018265
-1.365663322,-0.794322941,0,1,,
-1.365663322,-0.775709632,0,1,-0.828271673,-1.560121766
-1.393534002,-0.766402978,0,1,,
-1.393534002,-0.738483015,0,0,-0.662617338,-1.712328767
-1.365663322,-0.701256398,0,0,,
-1.170568562,-0.757096324,0,0,-0.662617338,-1.141552511
-1.031215162,-0.757096324,0,0,,
-0.724637681,-0.840856212,1,-1,-0.276090558,-0.761035008
-0.445930881,-0.952536063,1,-1,,
-0.2787068,-1.017682643,1,-1,0.496963004,-0.190258752
-0.19509476,-1.026989297,1,-1,,
-0.11148272,-1.073522569,1,-1,0,-0.418569254
0,-1.036295952,1,-1,,
0.30657748,-1.157282457,1,-1,0.220872446,-0.03805175
0.445930881,-1.222429037,1,-1,,
0.557413601,-1.241042345,2,-2,0.662617338,0.03805175
0.668896321,-1.287575617,2,-2,,
0.891861761,-1.306188925,2,-2,,
0.947603122,-1.324802234,2,-2,1.214798454,0.875190259
0.891861761,-1.306188925,3,-3,,
0.975473802,-1.315495579,3,-3,0.938707896,0.98934551
1.226309922,-1.315495579,3,-3,,
1.142697882,-1.278268962,3,-3,0.938707896,1.065449011
0.975473802,-1.278268962,3,-3,,
0.557413601,-1.194509074,2,-2,0.828271673,0.684931507
0.334448161,-1.101442531,2,-2,,
0.22296544,-1.017682643,2,-2,0.773053562,0.646879756
0,-1.017682643,1,-1,,
-0.445930881,-1.008375989,0,0,0.220872446,-0.532724505
-0.668896321,-0.980456026,0,1,,
-0.891861761,-1.026989297,0,1,0.055218112,-0.761035008
-1.783723523,-0.273150302,-1,-1,,
-1.783723523,-0.254536994,-1,-1,-2.208724462,-1.750380518
-1.755852843,-0.235923685,0,0,,
-1.254180602,-0.347603537,0,0,-1.766979569,-1.484018265
-1.086956522,-0.403443462,0,0,,
-0.975473802,-0.431363425,1,-1,-1.270016565,-1.02739726
-0.613154961,-0.654723127,1,-1,,
-0.08361204,-0.822242904,1,-1,-0.276090558,0.076103501
0.418060201,-1.017682643,1,-1,,
0.641025641,-1.092135877,2,-2,0.110436223,0.456621005
0.863991081,-1.138669148,2,-2,,
