,temperature,humidity,skin,clo,sensation
0,17.4,37.9,28.2,1.18,0
1,17.3,40.2,28.9,1.18,0
2,23.5,35.2,31.8,1.18,1
3,26.8,33.1,33,1.18,1
4,26.9,31.4,33.7,1.18,2
5,27.8,32.1,33.7,1.18,2
6,28.7,30.4,34.3,1.18,3
7,29.3,29.6,35.3,1.18,3
8,28.1,30.8,33.9,1.18,2
9,25.3,33.1,34.8,1.18,1
10,24,34.4,33.4,1.18,0
11,22.6,32.7,32.8,1.18,0
12,22.2,27.6,31.9,1.18,1
13,22.5,26.8,31.9,1.18,0
14,22.4,27.2,31.9,1.18,0
15,22.5,28.3,31.8,1.18,0
16,22.7,30,32.3,1.18,0
17,26.6,28.3,33.4,1.18,1
18,29.6,26.3,33.6,1.18,3
19,28,26.9,33.6,1.18,1
20,26.9,28.1,33.8,1.18,0
21,26.5,28.6,33.5,1.18,1
22,26.2,29,33.8,1.18,1
23,26,25,33.8,1.18,0
24,25.2,24,33.6,1.18,0
25,25,22.4,33.8,1.18,0
26,24.6,25,33.8,1.18,0
27,24.3,26.1,33.4,1.18,0
28,19.3,34.5,30.9,1.18,0
29,19.2,34.9,30.9,1.18,0
30,19.1,35.3,31.2,1.18,0
31,19.9,35.1,31.2,1.18,0
32,21.5,34.2,31.9,1.18,1
33,23.1,32.3,33.3,1.18,1
34,23.7,31.7,32.4,1.18,1
35,25.2,30.8,32.8,1.18,1
36,26.1,29.9,33.6,1.18,2
37,27.5,29,34.6,1.18,2
38,27.6,29.1,34.1,1.18,3
39,28.2,29.5,34.1,1.18,3
40,26.1,30.4,33.9,1.18,2
41,24.9,32.3,33.8,1.18,2
42,22.5,32.4,32.8,1.18,0
43,20.9,32.2,32.5,1.18,0
44,17.7,40.5,28.4,1.18,-1
45,19.6,39.5,29.2,1.18,0
46,20.6,38.6,30.1,1.16,1
47,23.8,34.4,31.9,1.16,1
48,26.4,31.5,32.6,1.16,2
49,27.8,30.2,33.7,1.16,3
50,28.9,29.5,34.4,1.16,3
51,27.6,30,34.1,1.16,2
52,20.7,36.1,31.7,1.16,0
53,22,36.5,31.9,1.16,0
54,23.6,34.7,32.4,1.16,1
55,27.1,30.7,33.3,1.16,2
56,28,30.6,33.6,1.16,2
57,28.4,30,34,1.16,3
58,25,32.6,33.5,1.16,1
59,24.4,31.4,34.4,1.16,1
60,19.2,51.3,29.9,1.16,0
61,19.4,51.3,30.2,1.16,0
62,20.2,49.6,30.6,1.16,0
63,21.9,45,32.1,1.16,0
64,22.3,44.3,32.1,1.16,0
65,23.4,43,32.5,1.16,1
66,25.3,39.5,33.9,1.16,1
67,26.7,39.1,33.6,1.16,1
68,27.4,36.9,33.6,1.16,2
69,28.3,35.9,34.1,1.16,2
70,28.9,36,34.4,1.16,2
71,27.5,37.1,34.1,1.16,1
72,26.1,38.8,33.6,1.16,0
73,24.7,41,33.3,1.16,0
74,29.6,34,33.9,0.08,3
75,25.9,38.7,34.5,0.08,0
76,25.6,39.5,33.1,0.08,1
77,24,38.6,32.6,0.08,-1
78,24.6,42.1,32.7,0.08,0
79,24.7,39.3,32.7,0.08,0
80,21,35.1,31.3,0.08,-2
81,19.8,35.9,31.3,0.08,-3
82,18.7,36.1,30.6,0.08,-3
83,25.2,35.3,32.8,0.08,0
84,25,35.8,33.4,0.08,0
85,27,34.1,33.9,0.08,1
86,28.1,34.5,33.8,0.08,1
87,28.5,33.1,34.4,0.08,1
88,26.5,35,34,0.08,0
89,25.1,37.3,33.7,0.08,0
90,24.3,38.9,33.5,0.08,0
91,21.4,51.2,31.1,1.16,0
92,21.2,52,31.8,1.16,0
93,22.2,48.7,31.9,1.16,0
94,22.9,47.1,32.6,1.16,1
95,24.6,43.2,32.7,1.16,1
96,25.6,41.2,33.3,1.16,2
97,27.8,39,33.6,1.16,3
98,28.5,37.6,34.3,1.16,3
99,25.4,42,34,1.16,1
100,24,45.1,33.7,1.16,0
101,23,47.3,32.7,1.16,0
102,22.1,51,32.6,1.16,0
103,22,50.6,32.6,1.16,0
104,20.9,49.6,31.5,1.16,-1
105,18.7,54.3,31.1,1.16,-1
106,20,58,31.1,1.16,-1
107,20.4,57.6,32.1,1.16,0
108,21,61.2,30.4,1.16,0
109,21.3,59.7,30.4,1.16,0
110,24.7,54.1,32.5,1.16,0
111,26.8,49.8,33.4,1.16,1
112,28.4,46.9,33.4,1.16,1
113,29.2,44.7,33.8,1.16,1
114,30,42.4,34.2,1.16,2
115,30.6,40.5,34.1,1.16,2
116,29.9,41.1,33.8,1.16,1
117,27.9,43.7,33.7,1.16,0
118,27.1,45.3,33.9,1.16,0
119,26.5,45.7,34.7,1.16,0
120,17.3,43.4,28.5,1.16,-2
121,16.6,41.6,28,1.16,-3
122,15.7,41.1,27.5,1.16,-3
123,17.9,48.6,29,1.16,-2
124,19,51.7,29.3,1.16,-1
125,19,54.8,29.4,1.16,-1
126,19.8,54.5,29.8,1.16,-1
127,20.1,54.1,29.3,1.16,0
128,20.4,54.2,30.1,1.16,0
129,20.5,54.5,29.5,1.16,0
130,20.5,53.8,30.5,1.16,0
131,21,53.5,30.5,1.16,0
132,22.3,50.6,31.2,1.16,0
133,23.5,48,31.5,1.16,0
134,25.7,45,33.3,1.16,0
135,27.1,42.3,32.6,1.16,1
136,28,41.8,32.8,1.16,1
137,28.7,40.3,33.1,1.16,1
138,29.1,40,33.4,1.16,1
139,28.2,40.6,33.5,1.16,1
140,26.7,43.4,33.4,1.16,1
141,25.7,45,33,1.16,0
142,22.7,63.3,31.6,1.16,0
143,26.5,55,32.7,1.16,0
144,28.9,52,33.7,1.16,1
145,29.8,48.8,34.5,1.16,2
146,30.3,47.1,34.6,1.16,2
147,28.6,50.3,34.1,1.16,2
148,27.7,52,35.1,1.16,2
149,27.2,52.5,34,1.16,1
150,25.4,55.6,34,1.16,0
151,24.4,57.4,33.7,1.16,0
152,23.7,55.9,32.4,1.16,0
153,20.9,58.6,32.4,1.16,0
154,18.5,52.3,30,1.16,-2
155,18.7,53.8,29.7,1.16,-2
156,19.6,71.6,30.8,1.16,0
157,19.9,71.3,30.8,1.16,0
158,22.3,63.2,31.5,1.16,0
159,23.8,59.2,32.2,1.16,0
160,24.5,57.5,32.9,1.16,0
161,26.1,54.8,34,1.16,1
162,26.8,53.8,32.7,1.16,1
163,28.8,49.8,34.3,1.16,2
164,29.5,48,33.7,1.16,2
165,28.3,51.4,33.8,1.16,2
166,26.7,52,34.6,1.16,1
167,24.9,55.9,32.6,1.16,0
168,21.5,62,31.9,1.16,0
169,21.6,62,31.1,1.16,0
170,23,59.2,32.3,1.16,0
171,24.8,56.7,32.3,1.16,0
172,27.2,51.7,33.6,1.16,1
173,29.5,48.2,33.9,1.16,1
174,29.4,48.5,34.4,1.16,2
175,28.7,50,34,1.16,2
176,27.4,52,34.2,1.16,2
177,26,53.6,33.5,1.16,1
178,25,55.5,33.8,1.16,0
179,22.6,57.1,31.9,1.16,0
180,22.5,64.9,32.2,1.16,0
181,20.6,56.1,30.5,1.16,-1
182,18.7,52.5,29.6,1.16,-2
183,16.1,47.1,28.2,1.16,0
184,15.7,50.8,28.3,1.16,0
185,14.4,53.4,26.9,1.16,-1
186,15,54.6,27.1,1.16,-1
187,15.6,55.7,27.8,1.16,-1
188,16.1,54.1,28.5,1.16,-1
189,16.5,53.2,28.9,1.16,0
190,16.6,52,29.3,1.16,0
191,21.3,47.7,30.6,1.16,0
192,22.5,45.1,32.1,1.16,0
193,23,40.9,32.8,1.16,1
194,24.5,40.1,33.4,1.16,1
195,26.2,36.2,33.7,1.16,2
