,temperature,humidity,skin,sensation,comfort
0,17.4,37.9,28.5,-1,0
2,17.3,40.2,29.2,-1,0
4,23.5,35.2,31.0,1,-1
6,26.8,33.1,32.8,2,-2
8,26.9,31.4,32.3,2,-2
10,27.8,32.1,33.6,2,-2
12,28.7,30.4,34.0,2,-2
14,29.3,29.6,34.8,2,-2
16,28.1,30.8,33.7,0,0
18,25.3,33.1,34.0,0,1
20,24.0,34.4,32.7,0,1
22,22.6,32.7,32.2,0,1
24,22.2,27.6,32.0,0,0
26,22.5,26.8,32.2,0,0
28,22.4,27.2,32.1,0,0
30,22.5,28.3,32.4,0,1
32,22.7,30.0,32.0,0,1
34,26.6,28.3,33.6,1,-1
36,29.6,26.3,34.1,3,-3
38,28.0,26.9,34.0,2,-2
40,26.9,28.1,34.2,1,-1
42,26.5,28.6,33.6,1,-1
44,26.2,29.0,34.0,1,-1
46,26.0,25.0,33.5,0,0
48,25.2,24.0,33.6,0,0
50,25.0,22.4,33.4,0,0
52,24.6,25.0,33.4,0,0
54,24.3,26.1,32.8,0,0
57,19.3,34.5,30.8,0,1
59,19.2,34.9,31.2,0,1
61,19.1,35.3,30.0,0,1
63,19.9,35.1,30.4,0,1
65,21.5,34.2,31.4,0,0
67,23.1,32.3,33.0,0,0
69,23.7,31.7,32.0,1,-1
71,25.2,30.8,32.5,1,-1
73,26.1,29.9,32.7,1,-2
76,27.5,29.0,34.3,2,-2
78,27.6,29.1,34.1,3,-3
80,28.2,29.5,34.1,3,-3
82,26.1,30.4,33.0,2,-2
84,24.9,32.3,34.1,1,-1
86,22.5,32.4,32.0,1,-1
88,20.9,32.2,31.4,0,0
90,17.7,40.5,28.8,0,0
92,19.6,39.5,29.8,0,1
94,20.6,38.6,30.2,0,1
96,23.8,34.4,31.7,0,0
98,26.4,31.5,32.5,0,0
100,27.8,30.2,33.3,1,-1
102,28.9,29.5,33.6,2,-2
104,27.6,30.0,33.4,1,-1
109,20.7,36.1,30.5,0,1
111,22.0,36.5,31.5,0,0
113,23.6,34.7,32.2,0,0
115,26.6,31.4,33.3,1,-1
117,27.7,30.7,33.9,2,-2
119,28.1,30.0,33.8,2,-2
122,25.0,32.6,33.9,0,0
124,24.4,31.4,34.5,0,0
126,19.2,51.3,29.8,0,1
